Species,Population,Collection,ID,Sex,Age,Location,Latitude,Longitude,Altitude,Collector,Date collected,Photos,Scanned,Cleaned,Landmarked,Species correction,Other notes
subtropicus,,QM,JM166,Male,Adult,Pres. Mt Glorious,-27.333,152.767,572,R. Braithwaite,29/09/1971,ok,ok,ok,ok,,Female?
subtropicus,,QM,JM167,Male,Adult,Pres. Mt Glorious,-27.333,152.767,572,R. Braithwaite,29/09/1971,ok,ok,ok,ok,,Female?
subtropicus,,QM,JM168,Male,Adult,Pres. Mt Glorious,-27.333,152.767,572,R. Braithwaite,29/09/1971,ok,ok,ok,ok,,Female?
subtropicus,,QM,JM170,Female,Adult,Pres. Mt Glorious,-27.333,152.767,572,R. Braithwaite,29/09/1971,ok,ok,ok,ok,,Unknown?
stuartii,north,QM,JM18590,Male,Adult,"Lamington Nat. Park, Green Mtn Nat. Park office",-28.23,153.135,828,Chris Burwell,11/04/2007,ok,ok,ok,ok,,qm or bust - if not just use the lat long adjacent to office at green mtn as guesstimate
subtropicus,,QM,JM187,Female,Adult,"Mt Glorious 27�20'S, 152�46'E",-27.333,152.767,572,R. Braithwaite,26/03/1972,ok,ok,ok,ok,,
subtropicus,,QM,JM188,Female,Adult,Mt Glorious SEQ,-27.333,152.767,572,R. Braithwaite,26/03/1972,ok,ok,ok,ok,,
subtropicus,,QM,JM1912,Female,Adult,Mt Glorious Brisbane SEQ,-27.333,152.767,572,D. Joffe,30/07/1976,ok,ok,ok,ok,,Bled for serum. Field # MTGl
subtropicus,,QM,JM1913,Female,Adult,Mt Glorious SEQ,-27.333,152.767,572,D. Joffe,30/07/1976,ok,ok,ok,ok,,Bled for serum. Field # MtGl
subtropicus,,QM,JM19746,Male,Adult,"Harland Road, off Mt Glorious Rd, SEQ",-27.349,152.779,423,Baker & Mutton,1/09/2011,ok,ok,ok,ok,,
subtropicus,,QM,JM19749,Male,Adult,"End of Cedar Ck Rd, Samford",-27.32,152.783,572,Baker & Mutton,1/09/2011,ok,ok,ok,,,
subtropicus,,QM,JM19750,Female,Adult,"Harland Road, off Mt Glorious Rd",-27.346,152.773,423,Baker & Mutton,1/09/2011,ok,ok,ok,,,
subtropicus,,QM,JM19751,Male,Adult,"Mt Glorious Rd, Mt Glorious SEQ",-27.329,152.758,572,K. Hillier,15/08/2007,ok,ok,ok,,,
stuartii,north,QM,JM19756,Male,Adult,"Gambubal section Main Range Nat. Park SEQ 28�13'38.7""S 152�25'32.6""E",-28.227,152.426,973,Ian Gynther,10/05/2008,ok,ok,ok,,,Originally mistakenly classified A. subtropicus. Genetically tested. Thomas genetic No. MR2. +/- 300m. AGD84. Field no: N14243.
stuartii,north,QM,JM19758,Female,Adult,"Lot 2, Mulvena Rd Larnook via Kyogle NSW",-28.668,153.101,240,Wes Hall,29/04/2012,ok,ok,ok,,,
subtropicus,,QM,JM200,Female,Adult,Pres. Mt Glorious,-27.333,152.767,572,R. Braithwaite,3/10/1971,ok,ok,ok,,,
subtropicus,,QM,JM205,Female,Adult,Mt Glorious SEQ,-27.333,152.767,572,R. Braithwaite,28/10/1971,ok,ok,ok,ok,,
stuartii,north,QM,JM20761,Male,Unknown,"Main Range NP office, Cunningham's Gap, SEQ, 28 03 44 S 152 22 02 E",-28.062,152.367,674,R. Hobson,8/05/2012,ok,ok,ok,,cautious,CG2. N19465.
subtropicus,,QM,JM210,Female,Adult,Pres. Mt Glorious,-27.333,152.767,572,R. Braithwaite,25/09/1971,ok,ok,ok,,,
stuartii,north,QM,JM21268,Male,Adult,Nightcap Nat. Park NSW.,-28.607,153.377,289,T. Y. Mutton,26/08/2012,ok,ok,ok,,,don�t know - thomas may or heather - but likely 28 36 16 S 153 22 44 E (based on thomas m thesis). #NC4
stuartii,north,QM,JM21269,Male,Adult,Mt. Warning NSW.,-28.398,153.285,491,T. Y. Mutton,26/08/2012,ok,ok,ok,,,don�t know - thomas may or heather - but likely 28 23 58 S 153 16 51 E (based on thomas m thesis). MW3
stuartii,north,QM,JM21271,Female,Adult,Natural Bridge SEQ.,-28.233,153.25,741,T. Y. Mutton,25/08/2012,ok,ok,ok,,,#SP10
subtropicus,,QM,JM213,Male,Adult,Mt Glorious,-27.333,152.767,572,D. Braithwaite,29/05/1971,ok,ok,ok,ok,,template?
stuartii,north,QM,JM21357,Male,Adult,"Main Range Nat. Park Goomburra, Qld. SEQ. Lat -27.987669 Long 152.359866",-27.988,152.36,936,Penn Lloyd & L. Popple,26/05/2017,ok,ok,ok,,cautious,Elevation: 936 m. Upper Dalrymple Creek Valley.
stuartii,south,QM,JM21530,Male,Adult,"Private Property - New England NP, near the Chalet, ne NSW, 30�29'50""S 152�23'56""E (EH31)",-30.497,152.399,1393,"E. Mason, E. Gray",15/05/2014,ok,ok,ok,,,EH31
stuartii,?,QM,JM21536,Female,Adult,"Armidale - Kempsey Rd New England NP, ne NSW, 30�37'55""S 152�11'50""E (EH16)",-30.632,152.197,941,"E. Mason, E. Gray",15/05/2014,ok,ok,ok,,,EH16
subtropicus,,QM,JM2205,Female,Adult,"Mt Glorious 27�20'S, 152�46'E",-27.333,152.767,572,S. Van Dyck,2/09/1976,ok,ok,ok,ok,,MtGl
subtropicus,,QM,JM24,Male,Adult,Mt Glorious SEQ,-27.333,152.767,572,R. Braithwaite,25/06/1972,ok,ok,ok,,,
subtropicus,,QM,JM2935,Female,Adult,Brindabellas,,,,C. Dickman,_,ok,ok,ok,,agilis?,"qm or bust - but this will be an agilis!! If locality is correct, it should be omitted from your analysis"
